wavelength(eV);psi;tan(psi);delta;cos(delta)
1.470496124;5.602761835;0.098099524;1.993226291;0.999394946
1.469130072;5.609188243;0.098212767;1.762446371;0.999526933
1.467766554;5.59488085;0.097960653;1.841028919;0.999483811
1.466405566;5.561151331;0.097366347;1.977819426;0.999404263
1.465047099;5.591595329;0.09790276;1.565340999;0.999626822
1.463691147;5.601819082;0.098082912;1.731977431;0.999543147
1.462337703;5.578116223;0.097665256;1.527308427;0.999644735
1.460986759;5.581374017;0.097722658;2.049178362;0.999360504
1.459638309;5.603151767;0.098106395;1.676211627;0.999572091
1.458292345;5.600028752;0.098051364;2.036874397;0.999368159
1.456948862;5.592124485;0.097912084;1.998250078;0.999391892
1.455607852;5.613920912;0.098296165;1.944103871;0.999424398
1.454269308;5.576258929;0.097632531;2.090057165;0.999334738
1.452933224;5.573303055;0.09758045;1.528449985;0.999644204
1.451599593;5.575055764;0.097611331;1.66596668;0.999577305
1.450268407;5.587781366;0.097835556;1.498245755;0.999658126
1.448939661;5.582597255;0.097744211;1.528851925;0.999644017
1.447613347;5.56224973;0.097385699;1.78961504;0.999512237
1.44628946;5.601872677;0.098083856;2.06697358;0.99934935
1.444967991;5.61716022;0.098353248;2.026758317;0.999374419
1.443648936;5.589872353;0.0978724;1.621361996;0.999599635
1.442332286;5.576401561;0.097635044;1.826120736;0.999492137
1.441018036;5.601036507;0.098069122;1.985555793;0.999399593
1.439706178;5.624329169;0.098479582;1.691031896;0.999564491
1.438396707;5.593314858;0.097933059;1.449926032;0.999679821
1.437089616;5.574497918;0.097601502;1.326472113;0.99973202
1.435784898;5.597621411;0.098008944;1.790895962;0.999511539
1.434482547;5.636445161;0.098693101;1.859490955;0.999473407
1.433182557;5.598884099;0.098031194;1.577214652;0.99962114
1.431884921;5.606673455;0.098168452;1.534085031;0.999641576
1.430589632;5.593526623;0.097936791;1.875303941;0.999464414
1.429296685;5.617342552;0.098356461;1.716484322;0.999551284
1.428006073;5.596723604;0.097993124;1.636242556;0.999592253
1.426717789;5.591722519;0.097905001;1.91117215;0.999443732
1.425431828;5.610822859;0.098241571;1.743654342;0.999536967
1.424148183;5.615352942;0.0983214;1.976281633;0.999405189
1.422866848;5.630930906;0.098595922;1.699232312;0.999560258
1.421587816;5.608191862;0.098195209;1.838539353;0.999485206
1.420311082;5.603356089;0.098109996;1.727337815;0.999545592
1.419036639;5.613439143;0.098287675;1.660715053;0.999579966
1.417764481;5.604602737;0.098131963;1.890463381;0.999455721
1.416494602;5.611028962;0.098245203;1.553690391;0.999632356
1.415226995;5.60838759;0.098198658;1.583741953;0.999617998
1.413961656;5.593069413;0.097928734;1.45595653;0.999677152
1.412698577;5.610511422;0.098236083;1.615747292;0.999602403
1.411437753;5.54011375;0.096995704;1.370015919;0.999714139
1.410179177;5.599043864;0.098034009;1.319807021;0.999734707
1.408922844;5.904628489;0.103421593;1.321784014;0.999733911
1.407668747;5.847841218;0.10241997;1.395205795;0.999703531
1.406416881;5.912298381;0.103556892;1.28271325;0.999749409
