wavelength (eV);psi;tan(psi);delta;cos(delta)
2.327529094;2.526566904;0.044125516;173.5806745;-0.993730265
2.324108552;2.508717832;0.043813389;172.9307994;-0.992398237
2.32069805;2.507617325;0.043794145;173.1924477;-0.992949892
2.317297542;2.518496013;0.043984379;172.7824514;-0.992076268
2.313906985;2.513124267;0.043890444;173.0060701;-0.992559057
2.310526335;2.506808554;0.043780002;173.29851;-0.993167615
2.30715555;2.510402246;0.043842844;172.6221167;-0.991720805
2.303794585;2.542614823;0.044406154;172.8637287;-0.992253493
2.300443398;2.519161642;0.043996019;173.4952556;-0.993562478
2.297101946;2.52109892;0.044029896;173.0708337;-0.992696058
2.293770188;2.512122255;0.043872921;173.0194188;-0.992587399
2.29044808;2.520617728;0.044021482;172.9677721;-0.992477445
2.287135582;2.492829831;0.043535562;173.3497243;-0.993271529
2.28383265;2.501293365;0.043683559;172.7199121;-0.991938542
2.280539245;2.492542306;0.043530534;172.7911636;-0.99209536
2.277255325;2.500434606;0.043668543;173.4642782;-0.993501085
2.273980848;2.502887377;0.043711433;173.5109068;-0.993593387
2.270715775;2.502439464;0.043703601;173.6784322;-0.993919578
2.267460065;2.494448699;0.04356387;173.5830282;-0.993734857
2.264213677;2.512055049;0.043871746;172.9670184;-0.992475835
2.260976572;2.509805939;0.043832416;173.0093218;-0.992565966
2.257748709;2.493237887;0.043542697;173.417847;-0.993408519
2.25453005;2.476410197;0.043248446;172.8489644;-0.992221448
2.251320555;2.482210221;0.043349865;172.8937693;-0.992318491
2.248120185;2.491545749;0.043513108;173.5827614;-0.993734336
2.244928901;2.499923869;0.043659612;173.696619;-0.993954478
2.241746665;2.494781919;0.043569697;173.0099103;-0.992567216
2.238573437;2.489633169;0.043479664;174.0211734;-0.994560456
2.23540918;2.48443301;0.043388733;173.2698327;-0.993109083
2.232253856;2.487752593;0.04344678;172.9632749;-0.992467833
2.229107428;2.487906813;0.043449477;173.0099583;-0.992567318
2.225969856;2.478137711;0.043278653;172.9673005;-0.992476438
2.222841105;2.48412084;0.043383274;173.0232714;-0.992595569
2.219721137;2.475227164;0.043227759;173.0429082;-0.99263714
2.216609914;2.480506706;0.043320077;173.6967378;-0.993954706
2.213507402;2.469037372;0.043119526;173.0986273;-0.992754463
2.210413562;2.460403824;0.042968563;173.7773717;-0.994108233
2.207328358;2.467919025;0.043099971;173.6008113;-0.993769497
2.204251755;2.476207648;0.043244904;173.2931354;-0.993156664
2.201183716;2.484836622;0.043395791;173.9585932;-0.994446094
2.198124206;2.450546991;0.042796212;173.0293249;-0.992608396
2.19507319;2.473812799;0.043203028;173.3363908;-0.993244551
2.192030631;2.467467801;0.043092081;173.34608;-0.99326416
2.188996495;2.471093554;0.04315548;173.9773339;-0.994480466
2.185970747;2.459221465;0.042947889;173.0778926;-0.992710914
2.182953352;2.458295075;0.04293169;173.4010302;-0.993374832
2.179944276;2.478012955;0.043276471;173.4223185;-0.993417462
2.176943484;2.46981567;0.043133135;173.8663413;-0.994275347
2.173950942;2.461889131;0.042994534;173.8885866;-0.994316756
2.170966616;2.464491477;0.043040038;173.4802573;-0.99353279
2.167990473;2.477560702;0.043268563;173.9418717;-0.994415336
2.165022478;2.460156145;0.042964232;173.4406873;-0.993454135
2.162062599;2.44559427;0.042709613;172.8884468;-0.992306994
2.159110802;2.454107084;0.042858461;172.9977905;-0.992541451
2.156167053;2.470133465;0.043138692;173.204654;-0.992975122
2.153231321;2.467114926;0.04308591;173.7933729;-0.994138466
2.150303572;2.464485561;0.043039934;173.4017776;-0.993376331
2.147383775;2.457652237;0.04292045;173.1541411;-0.992870421
2.144471895;2.440695979;0.042623966;173.7655284;-0.994085807
2.141567902;2.455285387;0.042879064;174.1058733;-0.994713349
2.138671764;2.459532851;0.042953333;173.2575469;-0.99308393
2.135783448;2.459342343;0.042950002;173.2919004;-0.993154147
2.132902923;2.432595742;0.042482334;174.0865676;-0.994678691
2.130030157;2.448555072;0.042761383;173.3274297;-0.99322639
2.12716512;2.455843433;0.042888822;174.2086404;-0.994895937
2.12430778;2.444819148;0.04269606;173.8224949;-0.994193289
2.121458105;2.439956292;0.042611032;173.6106882;-0.993788696
2.118616066;2.442177317;0.042649867;173.2380891;-0.993044001
