nm, %T
302.000000, 41.660127
300.000000, 35.006198
298.000000, 28.316482
296.000000, 21.886799
294.000000, 16.028405
292.000000, 10.992541
290.000000, 6.944563
288.000000, 4.012940
286.000000, 2.087023
284.000000, 0.954184
282.000000, 0.376101
280.000000, 0.128523
278.000000, 0.040873
276.000000, 0.013759
274.000000, 0.006329
272.000000, 0.005451
270.000000, 0.005994
268.000000, 0.004031
266.000000, 0.004138
264.000000, 0.004681
262.000000, 0.004245
260.000000, 0.002938
258.000000, 0.003480
256.000000, 0.001739
254.000000, 0.001303
252.000000, 0.003148
250.000000, 0.004230
