nm, %R
276.000000, 4.052708
274.000000, 4.062589
272.000000, 4.075345
270.000000, 4.089156
268.000000, 4.107136
266.000000, 4.123977
264.000000, 4.142582
262.000000, 4.161976
260.000000, 4.186982
258.000000, 4.210686
256.000000, 4.238052
254.000000, 4.265399
252.000000, 4.295158
250.000000, 4.325824
