nm, %T
326.000000, 3.507238
324.000000, 2.360973
322.000000, 1.531317
320.000000, 0.949473
318.000000, 0.563965
316.000000, 0.319465
314.000000, 0.171568
312.000000, 0.087214
310.000000, 0.042082
308.000000, 0.019313
306.000000, 0.009596
304.000000, 0.005072
302.000000, 0.000661
300.000000, -0.000771
298.000000, -0.000110
296.000000, -0.000220
294.000000, -0.000330
292.000000, 0.000989
290.000000, 0.001538
288.000000, -0.000878
286.000000, -0.000219
284.000000, -0.000329
282.000000, 0.000219
280.000000, 0.000438
278.000000, -0.000437
276.000000, 0.000218
274.000000, -0.000546
272.000000, -0.000872
270.000000, 0.000545
268.000000, -0.000109
266.000000, -0.001633
264.000000, 0.000327
262.000000, 0.000327
260.000000, -0.000762
258.000000, -0.001305
256.000000, -0.000435
254.000000, -0.001521
252.000000, -0.002496
250.000000, -0.000542
