wavelength (eV);psi;tan(Psi);delta;cos(Delta)
1.5512723;9.888044047;0.17431292;179.1555774;-0.999891398
1.549752125;9.919767954;0.174883485;178.8978929;-0.999815005
1.548234927;9.899841595;0.17452509;179.264391;-0.999917584
1.546720696;9.90732225;0.174659632;179.1545683;-0.999891139
1.545209424;9.91306903;0.174762994;178.8623242;-0.999802872
1.543701102;9.899084507;0.174511474;178.9696657;-0.999838315
1.542195723;9.895357046;0.174444437;179.2468353;-0.999913603
1.540693276;9.884656675;0.174252003;179.1308515;-0.999884945
1.539193754;9.927444615;0.175021569;178.7547565;-0.999763835
1.537697148;9.872274339;0.174029337;179.1669737;-0.99989431
1.53620345;9.91426141;0.17478444;179.1702907;-0.99989515
1.534712651;9.895595556;0.174448726;178.8457647;-0.999797092
1.533224742;9.929690799;0.175061974;178.8377305;-0.999794258
1.531739716;9.875691998;0.174090794;178.7415807;-0.999758811
1.530257564;9.900081415;0.174529403;179.0977721;-0.999876021
1.528778277;9.930426664;0.175075211;178.8705005;-0.999805696
1.527301848;9.89334277;0.174408212;179.1669408;-0.999894302
1.525828267;9.894360801;0.17442652;178.9645874;-0.999836717
1.524357527;9.893207885;0.174405786;179.1673382;-0.999894402
1.52288962;9.906802072;0.174650276;179.0197522;-0.999853652
1.521424537;9.91215759;0.1747466;178.9275541;-0.999824829
1.519962271;9.898501153;0.174500982;179.0950632;-0.999875275
1.518502812;9.891484858;0.174374799;178.9698163;-0.999838362
1.517046154;9.886006646;0.17427628;179.0890958;-0.999873625
1.515592287;9.876683085;0.174108616;179.0397532;-0.999859563
1.514141205;9.892814095;0.174398704;179.1538338;-0.999890949
1.512692898;9.892176295;0.174387234;178.9325127;-0.999826445
1.51124736;9.891938429;0.174382956;179.0706301;-0.99986845
1.509804581;9.897850408;0.174489279;179.0687021;-0.999867903
1.508364555;9.899356346;0.174516363;178.9793181;-0.99984133
1.506927273;9.897818056;0.174488697;178.9242853;-0.999823759
1.505492728;9.893220565;0.174406014;179.0138429;-0.999851883
1.504060911;9.894939232;0.174436923;179.0624451;-0.999866122
1.502631815;9.902246369;0.17456834;179.0038604;-0.999848869
1.501205433;9.891392857;0.174373144;179.0510935;-0.999862861
1.499781755;9.880883982;0.174184159;178.9341361;-0.999826972
1.498360776;9.883007326;0.174222343;178.9410649;-0.999829214
1.496942486;9.897921184;0.174490552;179.0848921;-0.999872456
1.49552688;9.897265699;0.174478763;178.9484362;-0.999831584
