wl (nm);T;Lower Envelope
378;74.33993;55.02184
376;71.64686;54.50216
374;67.28193;53.90826
372;62.13517;53.23249
370;57.15329;52.46718
368;53.01133;51.60465
366;50.08708;50.63725
364;48.54344;49.55731
362;48.35717;48.35717
360;49.32581;47.03219
358;50.91743;45.58985
356;52.12945;44.04068
354;51.66287;42.3952
352;48.68357;40.66393
350;43.49491;38.85738
348;37.46993;36.98608
346;31.92319;35.06054
344;27.514;33.09129
342;24.17175;31.08885
340;21.45715;29.06372
338;18.83874;27.02644
336;15.94075;24.98753
334;12.77284;22.95749
332;9.69778;20.94686
330;7.08134;18.96614
328;5.04394;17.02587
326;3.50724;15.13656
324;2.36097;13.30873
322;1.53132;11.55289
320;0.94947;9.87958
318;0.56397;8.2993
316;0.31947;6.82258
314;0.17157;5.45994
312;0.08721;4.22189
310;0.04208;3.11896
308;0.01931;2.16167
306;0.0096;1.36053
304;0.00507;0.72606
302;6.61E-04;0.26879
300;-7.71E-04;-7.71E-04
298;-1.10E-04;-0.08774
296;-2.20E-04;-0.05981
294;-3.30E-04;-3.30E-04
292;9.89E-04;0.0246
290;0.00154;0.01775
288;-8.78E-04;-8.78E-04
286;-2.19E-04;-0.01485
284;-3.29E-04;-0.02201
282;2.19E-04;-0.02377
280;4.38E-04;-0.02153
278;-4.37E-04;-0.01671
276;2.18E-04;-0.01072
274;-5.46E-04;-0.00497
272;-8.72E-04;-8.72E-04
270;5.45E-04;5.74E-04
268;-1.09E-04;-1.95E-05
266;-0.00163;-0.00163
264;3.27E-04;-0.00325
262;3.27E-04;-0.00384
260;-7.62E-04;-0.00239
258;-0.00131;0.00211
256;-4.35E-04;0.0107
254;-0.00152;0.02438
252;-0.0025;0.04419
250;-5.42E-04;0.07113
